微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
ICOMdexlc,【传承！这是疫情下的中国少年】全国哀悼时隔墙敬礼的小学生；踮起脚尖向募捐箱里放自己压岁钱的孩子；给医护敬礼，说“没有他们，我们不可能安稳上课”的小姑娘；给拾荒者戴口罩的男孩；向撤离的援鄂医护大喊“欢迎你们到武汉来玩”的武汉娃…善良、感恩、温暖，这就是代表中国未来的小小少年！  [组图共10张] 原图 ,,"http://ww2.sinaimg.cn/large/eaaf2affly1gdpri97yx9j20m810sagd.jpg,http://ww3.sinaimg.cn/large/eaaf2affly1gdpri9fygpj20m810s7ac.jpg,http://ww1.sinaimg.cn/large/eaaf2affly1gdpri9mxdhj20m810safm.jpg,http://ww2.sinaimg.cn/large/eaaf2affly1gdpria5yx7j20m810swjh.jpg,http://ww4.sinaimg.cn/large/eaaf2affly1gdpriadel3j20m810s7ag.jpg,http://ww4.sinaimg.cn/large/eaaf2affly1gdpriala6zj20m810sagf.jpg,http://ww1.sinaimg.cn/large/eaaf2affly1gdpriau6qlj20m810sdkn.jpg,http://ww2.sinaimg.cn/large/eaaf2affly1gdprib28ssj20m810sn37.jpg,http://ww2.sinaimg.cn/large/eaaf2affly1gdpriba3krj20m810sdke.jpg,http://ww3.sinaimg.cn/large/eaaf2affly1gdpribgfglj20m810sadl.jpg",无,无,2020-04-11 13:27,无,2029,394,446
ICOjujOsl,【中科院发现迄今#银河系自转最快恒星#】中国天文学家发现的迄今银河系自转最快恒星，其自转速度约为540千米每秒，比目前银河系中自转速度第二快的恒星约快100千米每秒。 央视新闻的微博视频  ,,无,"http://f.video.weibocdn.com/tsLOfyP7lx07Cpougy1y010412009wTi0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622495313&ssig=gSvHsKyttW&KID=unistore,video",无,2020-04-11 12:17,微博视频号,1589,167,263
ICNUcqIBm,【24位中意歌唱家隔空唱响在一起：茉莉花开，今夜无人入眠】近日，中意两国艺术家联袂完成的音乐电视作品《在一起（TOGETHER）》发布，作品选用中国经典歌曲《茉莉花》和意大利歌剧《图兰朵》中咏叹调《今夜无人入眠》重新编配，表达两国人民共同战胜疫情、迎接明天的美好心愿！#为青春而歌##人类命运共同体# 紫光阁的微博视频                                 ,,无,"http://f.video.weibocdn.com/v1apebEClx07CorLZG52010412020ePc0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=1621fcd5d40969f1c74e6b06e52fcd54&Expires=1622495319&ssig=ERtg1FQHFi&KID=unistore,video",无,2020-04-11 11:14,微博视频号,942,236,213
ICNvHynAk,【#美军特殊部队1天处理400具遗体#】据美媒报道，美国陆军部长麦卡锡周三证实，为缓解当地丧葬机构的压力，美军准备向纽约部署第111殡葬事务收集连。最新消息，据美国约翰斯·霍普金斯大学数据，截至美东时间10日21：25，#美国新冠肺炎确诊超50万例#。小央视频的秒拍视频  ,,无,"http://miaopai.video.weibocdn.com/lJdPVkVdlx07CosLzXx601041200mwdv0E013.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622495320&ssig=OcBnCqrSON&KID=unistore,video",无,2020-04-11 10:14,微博视频号,2451,103,339
ICNkzAQ6L,【划重点！3大特点，4大改变——疫情影响之下世界格局变化和青年的应对】疫情期间为何美国加紧在南海挑衅？美国为何要征兵100万预备役部队？欧美国家为何在此时污名化中国？青年该如何应对全球百年未有之大变局？今天下午三点，青联大讲堂帮你了解和正确应对疫情影响之下的世界格局变化！  原图 ,,http://wx1.sinaimg.cn/large/eaaf2affly1gdpl45mxcbj20u01hctrp.jpg,无,无,2020-04-11 09:47,无,626,88,151
ICMNZDwyA,【高校因疫情延迟开学，大学生们在家里憋出十八般“武艺” 】洗衣服做饭带孩子遛狗都只是常规操作，有些大学生掌握的技能简直令人惊叹。戳视频↓ 燃新闻的秒拍视频  ,,无,"http://miaopai.video.weibocdn.com/XVuoS76Qlx07C1u1JYOI01041200o08Y0E013.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622495323&ssig=O%2BaiBRi%2Fmh&KID=unistore,video",无,2020-04-11 08:26,微博视频号,8370,1680,1091
ICII8eClI,【#钟南山回应何时开学#】钟南山：关于复学，我个人的看法，一是看本地，本地区发病减少到很少了，我们快做到了；第二个看外来输入控制的情况，假如外来输入控制的也不错，我觉得应该复学了。具体时间不好说，我觉得应该不太长了，比如说四月底左右的时间。不能永远不开学，这个病是不可能铲除得一干二净的，没有造成大规模的爆发，就行了。央视新闻的微博视频                                 ,,无,"http://f.video.weibocdn.com/osBF82hAlx07Co6XZ9Ek01041200cWP10E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622495330&ssig=7MV10hsVpV&KID=unistore,video",无,2020-04-10 22:01,微博视频号,1665,233,354
ICIePy55s,【美国确诊老人死前向语音助手求助40次】据美联社报道，美国密歇根州一名因新冠肺炎死亡的老人，曾向语音助手求助了至少40次，录音中老人在说：“帮帮我，我很痛苦”。这名66岁的老人生前居住的疗养院中有36人确诊感染，老人去世后，求助录音被她的亲人发现。 央视新闻的微博视频  ,,无,"http://f.video.weibocdn.com/uWb8s2Xslx07CohXdSHK010412006C2b0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622495330&ssig=t0ZvfGM%2F4L&KID=unistore,video",无,2020-04-10 20:49,微博视频号,4658,275,497
ICHJwdrmH,【治愈者女儿哽咽致谢医疗队】近日，钟南山团队成员，广东支援武汉协和西院ICU医疗队完成救治任务，启程返回广东。一位治愈者的女儿特意在机场等候，想向曾精心救治和照顾母亲的高元妹医生道一声谢谢，“是你让我还有妈妈，不然就没妈妈了”。 央视新闻的微博视频  ,,无,"http://f.video.weibocdn.com/z2500Hjrlx07CnHXaJYk01041200ZNzb0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622495331&ssig=jOXsAyPSCj&KID=unistore,video",无,2020-04-10 19:31,微博视频号,1291,141,197
ICGyQxjJr,【低俗广告刺激眼球！南宁某商业街出现不良广告】近日网友爆料：南宁市某地下商业场所墙面上，出现一幅涉及未成年人广告，内容低俗。《中华人民共和国广告法》明确规定广告中不得含有淫秽、色情、赌博、迷信、恐怖、暴力的内容；不得损害未成年人和残疾人的身心健康。应依法查处！  [组图共4张] 原图 ,,"http://ww3.sinaimg.cn/large/eaaf2affly1gdor8hdxwkj20qy0im40b.jpg,http://ww1.sinaimg.cn/large/eaaf2affly1gdor8hlfl1j20dc0jqta2.jpg,http://ww2.sinaimg.cn/large/eaaf2affly1gdor8hqg33j213m04i74p.jpg,http://ww1.sinaimg.cn/large/eaaf2affly1gdor8huv1uj21460dsgoi.jpg",无,无,2020-04-10 16:32,无,6370,210,738
ICG6ahBxc,【太美了！#航拍四川甘孜十里桃林#】这个季节，在甘孜州得荣县，不得不提的就是桃花，在白松可谓是“十里桃林，十里春盛”。一起跟随航拍镜头走进得荣桃花源。四川观察的微博视频  ,,无,"http://f.video.weibocdn.com/002XrHIDgx07CnWz42cT01041200QhdD0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=1621fcd5d40969f1c74e6b06e52fcd54&Expires=1622495338&ssig=UcCKBwzPfE&KID=unistore,video",无,2020-04-10 15:22,微博视频号,1122,209,300
